,Unnamed: 0,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,Credit_Score,Amount_invested_monthly
67437,73832,22,9,28491.46,2273.288333333333,9,7,25,7,1695,49,21.0,12.6,10.0,3,3603.74,28.49506504888863,30,1,127.88497078983532,5,253.4071076314371,2,136.03675491206096
67444,54398,25,14,17164.13,1455.344166666667,8,7,30,4,1956,51,14.0,17.44,12.0,2,2186.43,39.022080572710856,3,1,48.78797271009556,1,312.6045777585631,1,34.1418661980081
67452,21391,45,13,19379.71,1796.9758333333332,8,5,19,4,1570,21,15.0,12.23,6.0,2,2010.92,39.99969110315365,6,1,42.10086855295948,1,341.12459902702284,2,46.4721157533511
67461,79786,51,9,29750.77,2518.230833333333,3,7,15,2,1684,20,18.0,5.41,3.0,3,706.22,30.14202525730337,16,0,43.18330713250506,2,320.796841232645,2,147.8429349681833
67462,88352,23,4,106666.2,8873.85,6,6,12,5,1373,12,18.0,15.09,6.0,3,1288.06,31.494608399109048,7,1,317.94944328949686,1,577.6779449503836,2,241.75761176011972
67481,56650,43,1,68214.9,5660.575,6,5,7,2,1438,28,13.0,16.22,1.0,2,978.49,31.5057057255652,20,1,59.13169477949359,5,373.62247602966187,2,423.3033291908445
67486,14713,45,15,54622.5,4371.875,8,9,23,7,1301,19,19.0,21.92,12.0,0,3445.84,34.354345876612555,30,1,217.31615326411827,0,405.2688158321853,2,54.602530903696426
67489,69123,47,7,84358.5,6730.875,2,4,7,2,1902,14,4.0,11.94,1.0,1,1460.18,32.916541169691314,14,0,86.72041696962972,0,672.6108327721055,0,153.75625025826494
67492,87039,41,4,11330.965,1115.2470833333332,3,7,7,1,233,16,20.0,8.01,4.0,2,1154.16,33.53533527990693,21,0,5.994046458510777,5,316.4658140885764,0,79.06484778624616
67494,40769,47,14,95858.31,8019.1925,3,6,6,2,229,25,11.0,6.89,3.0,1,345.07,35.20531112320328,17,0,149.80092011180002,2,470.5058085288799,0,441.61252135932006
67495,42009,52,1,77439.87,6504.322499999998,3,4,13,2,724,20,12.0,3.34,2.0,2,879.87,40.05978268000688,7,0,71.51584099962108,5,567.9366093942024,2,300.97979960617647
67519,89921,22,2,14128.68,884.3900000000001,4,4,9,2,1689,11,19.0,14.32,4.0,2,314.56,29.094390737641863,11,1,12.076670221913464,3,311.69897047635396,2,34.66335930173251
67522,53261,21,9,36463.7,2845.6416666666664,4,7,3,1,1690,5,5.0,4.55,1.0,1,1051.13,27.247520490673388,10,0,19.159720761716454,0,447.7673191418546,2,57.63712676309561
67527,90705,44,0,10690.96,973.9133333333332,3,5,15,3,115,13,9.0,10.89,3.0,3,260.75,37.87416358070249,26,0,24.454513178548755,2,299.33692864711037,2,33.599891507674194
67534,86139,46,2,31877.72,2571.476666666667,3,6,20,1,233,28,10.0,1.46,4.0,2,886.59,31.01937573955396,17,0,21.794375249782988,2,401.72144971193285,2,93.6318417049509
67553,47140,18,8,26612.6,2459.7166666666667,6,7,17,1,0,21,11.0,5.57,1.0,2,248.56,25.76441301308374,19,0,21.86795407999505,5,360.93629088724543,2,153.16742169942626
67569,21544,21,8,99384.72,8236.06,4,6,10,4,1847,5,14.0,9.61,1.0,2,199.26,26.58594693955175,11,0,249.34599091177964,1,733.9648732677887,2,90.29513582043171
67575,43345,36,13,88827.54000000002,7199.295000000001,5,5,7,4,1058,12,9.0,15.78,4.0,2,512.09,27.652901862579352,3,1,277.0436089692144,6,567.8571148175499,2,135.02877621323586
67579,70812,27,1,16232.14,1496.678333333333,5,7,25,2,1902,23,20.0,19.15,12.0,2,2446.43,27.586232208953422,34,1,14.977683452393528,5,246.9951655131864,2,177.69498436775342
67581,92491,22,4,45947.10000000001,3843.925000000001,9,9,31,7,885,29,20.0,13.489999999999998,9.0,3,3813.3,33.51286590934544,31,1,165.6522317183741,5,298.2095187308073,2,210.53074955081874
67585,37560,29,10,22017.78,1576.8149999999996,3,7,11,2,478,9,18.0,14.49,5.0,3,1175.88,28.59528920713948,18,1,32.8518128677344,5,213.6057761407764,2,201.2239109914892
67597,52058,22,4,107765.7,8982.475,7,5,7,4,81,18,9.0,3.25,6.0,2,1134.39,25.70216285570484,21,0,261.2601642072028,1,551.7369662702819,2,335.25036952251554
67609,33336,30,12,18317.26,1731.438333333333,6,9,15,3,1363,36,21.0,3.26,8.0,0,1611.27,31.437348776287227,31,1,25.338476049851984,5,374.6166544349885,1,63.188702848492824
67612,83930,22,0,73926.36,6117.53,8,6,21,6,826,45,16.0,20.28,7.0,0,3978.9,28.088630258145443,23,1,329.24372938835387,1,451.5881541582031,1,80.92111645344305
67627,90435,32,5,27339.81,2518.3175,3,5,9,1,1200,16,14.0,3.82,2.0,3,1342.51,31.17546346244712,16,0,14.668753530353376,5,436.9863200150392,1,90.17667645460736
67632,63626,26,6,16970.75,1685.229166666667,6,7,7,2,1683,27,18.0,11.9,10.0,2,2360.67,28.39661963665278,2,1,26.94751216779543,3,371.0812341781851,1,40.494170320686095
67638,14733,52,10,29060.32,2235.693333333333,8,5,9,4,1094,6,15.0,8.2,3.0,2,865.12,33.47688222659929,11,0,64.49226323178074,3,234.63453564524525,2,194.4425344563073
67648,80781,38,8,33498.79,2995.5658333333336,2,4,9,2,2153,7,10.0,3.05,3.0,1,646.04,36.87887072502024,25,0,32.30101331045959,3,433.9831562695162,0,103.27241375335753
67661,63251,20,10,36178.94,2737.911666666667,5,7,7,2,2158,28,13.0,16.9,12.0,2,1562.82,37.24776881361435,7,1,44.33900647409711,2,348.05722981751745,0,141.39493037505213
67662,18813,38,4,19151.85,1746.9875,8,9,24,2,1905,33,16.0,7.89,10.0,3,2585.2,34.99959411603704,7,1,31.78078547365052,5,231.81982666427345,1,201.09813786207604
67664,39979,19,7,61778.7,4955.224999999999,7,4,18,4,1761,30,10.0,9.06,2.0,2,519.01,31.73686407251388,7,0,131.98382504529346,0,543.9501761260804,2,59.58849882862625
67667,88747,23,13,19493.65,1809.470833333333,7,6,24,4,1415,36,20.0,6.78,11.0,0,1878.03,31.89659173722866,13,1,56.39704749050957,3,235.45908360923028,2,159.09095223359353
67668,33830,52,11,24353.63,1851.469166666667,6,7,11,1,955,30,13.0,17.24,4.0,2,806.4,24.773166509143227,16,1,15.465946462875564,2,316.3917087923552,2,113.28926141143594
67670,21351,18,4,17686.19,1424.8491666666666,9,9,19,6,1975,36,18.0,15.04,9.0,0,2994.45,29.395667642789387,33,1,59.38569732527807,5,301.4041532554088,1,71.69506608597979
67671,8636,28,3,45139.08,3535.59,7,9,19,6,1581,17,22.0,3.16,11.0,0,1419.66,27.95769888560251,6,0,153.446081743519,0,404.2522208858786,2,35.86069737060244
67672,7678,40,11,68110.83,5469.9025,5,7,9,3,924,23,15.0,19.13,1.0,2,147.77,30.46060100116867,24,1,102.6910617874959,4,554.2539755564749,1,170.04521265602932
67698,25715,51,4,97577.28,7906.44,3,4,12,2,2151,4,7.0,6.75,5.0,1,708.73,39.56313615458203,25,0,92.86650660879025,1,656.2434609254825,0,291.53403246572725
67709,9427,29,7,20790.085,2015.5070833333327,2,7,12,4,1127,4,8.0,5.01,5.0,1,695.85,30.13106246980377,34,0,50.34316991146921,3,279.6392586106589,2,141.56827981120526
67710,14833,29,2,58194.33,4663.5275,5,7,20,5,45,26,18.0,12.11,4.0,2,1208.38,25.21358572066429,33,1,132.08369503329806,1,433.62599165097123,2,150.64306331573073
67725,15715,33,12,72414.06,6234.505,5,6,19,4,1981,7,20.0,9.55,2.0,3,1020.01,28.52268902175514,18,0,201.37507856429127,4,518.0479553110133,2,184.02746612469542
67746,54094,38,4,16449.27,1089.7725,8,6,20,2,721,21,14.0,19.86,4.0,2,1385.18,37.715180387569255,32,1,16.598134235774197,5,335.43254372390265,2,46.946572040323154
67752,61876,35,1,58176.60000000001,5054.05,6,4,13,3,1000,19,14.0,6.380000000000001,4.0,2,1457.8,26.462916418291712,6,1,120.08057168606852,1,454.7533072335172,1,180.57112108041431
67754,49283,42,1,77245.47,6671.1225,3,6,18,3,48,34,16.0,13.53,5.0,3,1251.67,27.82792147276461,16,1,119.4671640720801,3,293.1863127009336,2,524.4587732269864
67766,24088,32,11,113666.08,9637.173333333334,8,7,8,4,1787,16,15.0,18.45,4.0,2,883.26,28.99634053842649,11,1,353.5609363816932,0,662.8157301352156,2,187.34066681642472
67772,60254,42,8,34666.02,2946.835,8,6,25,4,1608,22,17.0,7.06,8.0,0,1353.07,38.41165192809725,2,1,70.95007660242807,3,383.439744254696,1,110.2936791428759
67784,80596,37,1,121256.4,9881.7,4,4,19,2,1904,17,19.0,4.92,7.0,2,1012.93,33.923422451867026,25,0,201.7664879504814,4,261.5075809190382,2,804.8959311304802
67787,75905,23,6,16614.765,1424.56375,4,7,20,1,725,20,15.0,4.55,4.0,3,931.36,31.05073489862411,25,0,7.403524777057425,3,355.25182010556915,2,49.801030117373465
67792,36237,26,3,35336.77,2893.730833333333,4,5,16,2,1689,12,17.0,4.76,2.0,3,1172.87,27.31083953064827,26,0,31.402438038633004,3,336.8728148644506,2,191.09783043024967
67799,38246,21,14,56971.5,4717.059450657643,7,7,17,3,1275,29,14.0,8.53,11.0,2,154.46,25.41656503358985,17,1,264.05965801938663,2,409.89787308364504,0,200.27051823932686
67805,74752,26,1,31615.0,2657.583333333333,7,4,5,4,890,12,10.0,15.31,6.0,2,330.21,39.926521681628905,11,1,66.63488669611012,1,347.0145661137692,2,102.108880523454
67812,65021,21,10,18426.025,1513.5020833333335,6,6,14,6,1300,13,19.0,7.67,8.0,2,364.1,27.83400362475011,34,1,78.42828579099908,4,267.03633013646714,2,85.88559240586716
67815,12442,41,4,72617.54999999999,5996.462499999999,3,4,5,2,1904,22,17.0,3.02,2.0,1,1475.91,31.90508062313672,20,0,89.40561295123986,0,701.308964526025,1,48.93167252273502
67826,20675,36,5,41772.18,3365.015,4,4,13,4,1459,13,18.0,13.5,8.0,3,1383.84,34.506299854576625,11,1,119.08805481173222,1,325.50334259858414,2,141.91010258968362
67835,46064,26,2,10813.53,1149.1275,4,4,10,4,44,11,16.0,13.12,2.0,2,862.42,29.273990019958585,20,1,24.058783646903013,5,325.55426588828215,2,55.29970046481494
67838,19498,35,13,17646.25,1230.5208333333333,4,6,14,4,2073,26,21.0,14.7,4.0,2,414.4,34.86072224087721,30,1,40.65314276255058,5,303.4914051383982,2,68.90753543238453
67840,70652,51,2,34593.98,3060.831666666667,4,4,12,2,1195,23,11.0,10.47,4.0,2,1453.07,36.8313305543725,22,0,43.33549072815099,6,405.47692103026856,2,107.27075490824717
67846,62216,46,6,61035.39,4821.2825,4,6,6,2,1434,18,12.0,9.98,4.0,2,1338.69,33.24889962627103,25,1,52.82375399762832,1,625.9772192463829,2,53.32727675598882
67849,8632,28,3,45139.08,3535.59,7,9,19,6,1581,16,21.0,13.16,11.0,0,1419.66,30.78339363741421,34,1,153.446081743519,3,334.0961477619905,1,136.01677049449052
67857,60606,44,9,14535.305,1376.2754166666666,8,6,9,4,1289,10,15.0,8.79,4.0,3,413.84,38.3544796900796,15,0,35.424390715575576,4,338.67060124843294,2,43.532549702658116
67859,17284,22,3,71903.26,5739.938333333333,8,4,13,5,2111,18,13.0,9.38,5.0,2,541.54,31.772810177795968,8,1,166.45605558742346,5,302.42114430827996,2,395.11663343762984
67870,14305,41,15,23437.79,1711.1491666666668,8,4,20,3,370,25,12.0,7.31,2.0,2,589.94,36.76350001676087,34,1,47.87333656244205,1,331.2825553422393,2,41.959024761985376
67873,22224,21,10,108680.19,9282.6825,8,7,5,1,955,9,6.0,12.26,4.0,2,1439.29,29.65478157934515,8,1,60.640898008109744,4,793.3415126926392,2,354.28583929925117
67890,79970,41,14,32639.9,2457.991666666667,7,5,15,2,1435,8,19.0,15.23,5.0,2,1406.91,34.54271810403498,6,1,41.78045005812836,1,368.4186715205748,2,85.60004508796357
67893,52015,43,12,21578.69,1592.2241666666666,6,7,17,2,1908,31,18.0,8.96,4.0,2,625.46,37.79020768889456,26,0,18.87809836407072,4,301.838543209969,2,118.50577509262705
67908,61423,34,4,20374.59,1924.8825,6,6,25,3,687,27,20.0,19.58,9.0,2,1302.63,27.83126741675665,4,1,46.16207652325348,6,348.1266010546878,1,58.19957242205866
67920,24616,43,3,103092.27,8311.0225,3,6,10,4,1235,26,9.0,16.53,4.0,3,300.65,37.851812790285614,5,1,328.6048363557977,4,320.850060637657,2,461.64735300654525
67922,81408,22,14,42870.09,3782.5075,5,4,12,4,581,18,20.0,20.02,8.0,2,840.82,28.371481867951,9,1,106.62300671991356,2,304.43746375910075,2,227.1902795209857
67930,35538,34,0,77463.99,6388.3325,7,6,15,2,226,29,15.0,2.42,4.0,3,451.63,35.07557570027647,8,0,80.87723028558403,4,207.878178363791,2,630.0778413506251
67943,17908,31,0,44689.77,3741.1475000000014,6,6,20,7,695,8,11.0,8.31,7.0,2,2319.8,36.67563805614155,5,1,202.06108052742184,2,227.335930315845,2,204.71773915673316
67947,82238,50,12,32637.88,2514.8233333333333,5,5,10,3,1403,24,7.0,7.460000000000001,3.0,3,1061.77,39.80427349616543,9,1,69.57405666463872,2,305.1729033847278,2,136.7353732839668
67958,36319,24,13,74866.6,5964.883333333334,5,4,32,5,40,21,13.0,10.3,10.0,3,1798.0,32.096187866887576,32,1,277.45804355221475,3,221.94951465295296,1,367.08077512816567
67960,38524,48,4,121844.2,10265.683333333332,6,6,16,2,2154,16,9.0,8.3,4.0,2,1265.84,30.016771762424845,13,1,162.66813859907478,6,474.0757323742362,2,669.8244623600224
67975,59869,44,2,17535.57,1628.2975,4,6,29,2,2150,24,18.0,9.55,8.0,2,2476.35,30.21020433511689,6,1,28.6788368308862,6,314.0447724150291,1,100.10614075408472
67985,60231,34,5,20653.25,1652.104166666667,3,7,10,4,497,29,8.0,7.96,9.0,2,881.25,31.327822355914137,22,1,67.97467383435101,2,309.0455691099578,2,48.190173722357855
67986,38617,21,3,15167.62,1471.9683333333337,4,5,3,1,233,4,5.0,8.36,3.0,1,847.03,27.4346552380976,20,0,9.930809053794937,5,360.66704133811777,0,66.59898294142064
67993,9511,39,13,15707.85,1048.9875,4,4,13,1,955,18,10.0,7.59,10.0,2,1382.26,31.92995241104846,32,1,10.811389639578648,4,275.1825084811301,2,98.90485187929121
67999,17438,27,7,23454.09,2211.5075,5,5,11,5,903,21,12.0,17.99,8.0,2,846.41,25.990153481758213,4,1,73.34809191087513,4,364.321748256725,2,63.480909832399846
68003,14390,26,10,59458.29,4692.8575,8,5,13,1,1690,27,20.0,6.62,1.0,2,1114.52,39.19704016414117,11,1,26.333036642979444,0,631.2491520187536,2,51.70356133826697
68019,74105,35,6,33580.53,2667.3775,8,7,19,1,955,18,13.0,11.78,7.0,2,517.32,28.75915428143033,34,0,26.017419479667925,2,432.13574302578513,2,68.58458749454701
68024,47695,28,5,29453.84,2227.4866666666667,7,5,12,5,1376,7,20.0,19.45,10.0,3,249.36,25.24375406882032,34,0,86.08630790375713,1,346.07531299518547,1,40.58704576772409
68027,73933,49,8,21129.93,1840.8275,3,4,3,4,564,14,19.0,9.82,9.0,2,611.4,39.99108574341335,8,0,39.594950914382245,4,265.1507931860243,2,159.33700589959344
68046,90400,46,5,25608.99,1944.0825,8,6,8,3,1970,25,18.0,10.39,4.0,3,238.44,34.85879523769244,21,1,50.15524804200507,3,355.2560948702073,2,58.99690708778765
68066,43857,36,3,59658.09,5250.5075,8,6,8,5,1395,19,11.0,10.6,6.0,2,2034.67,39.51674572802384,32,1,235.4214888546128,2,236.32628355342405,2,313.3029775919632
68087,52185,32,1,61739.8,5247.983333333334,3,6,19,2,480,30,20.0,8.26,7.0,2,1686.57,31.13799636274807,5,1,91.3764209640977,4,461.72867007285737,1,251.69324229637817
68089,76773,17,7,15039.8,1458.3166666666666,6,7,13,6,453,14,17.0,12.56,8.0,2,1641.56,31.83938673127738,29,1,44.3816698302161,5,328.4508978030568,1,62.999099033393755
68090,32333,17,6,54420.45,4681.0375,3,4,19,3,2147,15,20.0,12.5,11.0,2,645.77,38.27273584008235,8,0,121.23411792854657,5,375.3466663827314,2,261.5229656887221
68095,83542,17,1,25417.33,2036.1108333333327,7,7,19,7,1665,22,19.0,12.58,6.0,2,432.76,33.95367543317153,6,0,101.20252968597087,1,290.35219239871327,0,62.056361248649225
68110,32846,28,3,103026.8,8754.566666666668,7,6,16,6,574,23,15.0,11.75,8.0,3,253.63,26.0070486444884,32,1,414.19680171429314,4,441.24850283104064,2,300.01136212133304
68114,13229,24,10,67726.17,5840.8475,8,7,20,2,1439,29,9.0,10.76,5.0,2,337.25,34.74612627524626,18,1,93.18869758063522,1,607.7165314310807,2,133.17952098828397
68119,18814,38,4,19151.85,1746.9875,8,9,24,2,1905,38,14.0,7.89,12.0,0,2585.2,36.060998308393565,7,1,31.78078547365052,1,342.4066500743632,2,50.511314451986344
68142,93459,22,12,26135.86,2009.9883333333328,8,5,6,2,1192,17,11.0,11.62,2.0,2,1233.42,32.05050189288896,20,1,33.711655740499914,5,236.09120651919292,0,221.1959710736405
68150,37403,21,5,23809.46,1916.121666666667,3,4,14,5,1445,14,9.0,7.7,8.0,2,677.77,33.97669282256086,11,1,85.01185404603773,2,276.1089269065828,2,90.49138571404616
68155,30372,45,1,51647.06999999999,4305.9225,6,8,19,3,525,45,12.0,15.46,11.0,2,2121.25,26.87761434253693,2,1,117.72706702674743,0,459.49642559789146,1,93.368757375361
68164,77034,40,4,43903.54,3377.6283333333336,3,5,17,1,1440,16,12.0,6.0299999999999985,4.0,2,370.91,39.718759904954425,24,1,20.860160319700192,1,527.106866236582,2,39.79580677705115
68169,26612,30,9,65247.82,5649.318333333334,3,5,12,2,1909,14,4.0,3.1,1.0,1,344.92,24.57897928129739,9,0,105.01878649217096,3,313.0783336615296,0,416.8347131796328
68170,51714,40,1,17893.36,1630.1133333333337,4,4,7,2,723,30,19.0,19.41,6.0,2,2405.5,29.811976455783075,9,1,27.73646464314185,3,363.6531062764959,2,41.621762413695606
68188,7663,25,14,23613.43,2202.785833333333,6,7,6,3,73,12,11.0,9.35,4.0,2,428.67,37.68791119320296,20,0,46.7383065427455,3,258.985927512494,2,184.55434927809392
68192,64781,26,4,83210.28,7051.19,4,7,17,2,227,8,8.0,17.5,8.0,2,1001.02,38.56504871563416,8,1,122.00824857461411,0,663.390885178741,2,159.7198662466449
68194,92697,28,11,28754.13,2479.1775,4,5,11,3,339,11,17.0,5.84,3.0,3,1175.57,30.652755661016563,9,1,66.95920907611328,5,188.98179069057815,2,281.97675023330856
68222,43083,41,7,99858.15,8310.5125,3,8,8,4,14,18,9.0,9.43,1.0,1,1392.72,28.23391197234308,16,0,190.6142563294377,2,737.2829820302335,2,163.1540116403288
68228,47457,18,0,28876.41,2682.3675,8,4,6,4,1414,18,11.0,16.19,6.0,2,812.5,25.249762000706447,31,1,50.29382155486634,2,291.15454627829,2,186.7883821668437
68245,76826,39,8,20818.74,1762.8950000000002,8,5,15,3,198,20,15.0,17.18,6.0,2,1821.25,37.75960389452511,33,1,44.88416187910022,2,333.81726129840587,1,57.58807682249389
68247,56264,21,0,28184.28,2398.69,7,5,10,1,0,29,13.0,17.32,5.0,2,901.52,24.48364670123237,20,0,15.357931587005304,1,438.87065527742027,2,35.640413135574455
68256,73935,50,8,21129.93,1840.8275,3,4,3,4,564,14,17.0,9.82,9.0,2,611.4,26.60924773281709,8,0,39.594950914382245,3,316.07311204192274,0,98.414687043695
68260,39578,21,15,19566.15,1888.5125,5,7,5,7,1290,7,10.0,3.93,8.0,2,556.73,27.90720066693104,33,1,58.35973691382311,3,340.84170250222735,2,59.64981058394953
68270,22138,35,3,14526.58,1318.5483333333334,5,7,31,7,1654,11,20.0,12.1,7.0,2,2447.81,27.473695875559148,9,1,83.96047515733541,6,229.5612308301504,1,78.33312734584752
68275,61203,25,13,32030.69,2292.0157393269324,4,4,6,4,520,19,11.0,1.37,8.0,3,625.84,30.45006336290545,19,0,244.35423632980016,1,337.8111483353268,0,71.0654593412736
68281,28230,33,3,26347.02,2060.585,4,7,17,2,1905,11,9.0,1.18,4.0,2,409.12,30.002243075936303,34,0,40.14962650083261,2,339.92891668435095,2,85.9799568148164
68282,59041,27,15,54262.34,4625.861666666667,6,4,17,7,2038,30,13.0,6.16,7.0,3,456.99,37.7793043296798,29,1,264.7561035209468,2,319.47080752519844,2,138.35925562052142
68299,55844,29,12,65929.12,5649.093333333332,6,5,18,2,230,8,11.0,17.76,12.0,2,1329.17,31.39464899631793,13,1,64.91669021308391,1,645.5969291357777,2,104.39571398447157
68316,11816,31,4,60348.92,5245.076666666667,6,6,13,2,227,8,19.0,8.53,1.0,2,1134.8,36.14391887638658,7,1,84.7803839535242,1,547.9194779540935,2,141.80780475904902
68325,52570,31,7,45917.0,3714.416666666666,4,7,7,1,1440,13,6.0,11.01,1.0,2,170.33,31.35922304489168,25,1,25.73479098063905,3,431.41488972569914,2,184.29198596032845
68326,41636,25,10,35006.57,3203.214166666666,5,7,10,4,63,9,14.0,20.95,3.0,2,246.13,33.64305956881151,8,1,76.98345911340735,1,357.38846100296496,2,135.94949655029436
68334,67593,42,1,22502.24,2120.1866666666665,6,7,12,5,1350,7,10.0,14.97,7.0,3,1202.86,25.89844389142366,5,1,56.20728485418449,5,242.31722421045086,2,203.4941576020313
68342,64753,27,10,50600.01,3923.6675,8,8,18,2,1192,25,19.0,6.4,11.0,0,1691.6,36.83620768299895,34,1,51.02564797398242,3,313.41496681863185,1,297.92613520738564
68361,41800,36,3,18496.49,1802.374166666667,7,8,27,4,1417,33,23.0,4.48,12.0,0,1571.26,28.41408641836071,11,1,54.90556857054426,1,338.2810378427755,1,37.05081025334694
68363,87653,22,1,17807.935,1545.9945833333334,6,5,8,3,2027,16,16.0,9.02,1.0,2,378.11,24.64483329957721,8,0,31.32606172486984,6,298.8973979956819,2,114.37599861278164
68378,79009,18,2,30638.28,2257.19,3,5,13,3,1777,14,17.0,15.41,4.0,2,670.13,35.99520085729764,13,1,57.35981371150897,5,268.72313254012585,2,189.63605374836519
68379,49704,34,14,9999.42,888.285,8,6,14,3,1596,9,12.0,1.56,2.0,2,153.12,30.55782460856169,20,0,21.635164004583,5,244.85335572809802,2,112.33998026731895
68385,5596,42,7,20474.27,1797.1891666666668,6,5,16,3,1132,30,11.0,3.99,6.0,3,1123.23,30.030218353246266,9,0,37.00176231785736,5,291.7377544240195,1,140.97939992478982
68395,61648,19,6,16931.7,1656.975,8,5,23,3,1896,43,16.0,1.17,12.0,3,1557.41,29.40859973311865,8,1,25.884004319293123,2,338.4974808552506,2,61.31601482545626
68403,70970,20,2,58367.36,4921.946666666667,5,4,5,2,1909,5,9.0,11.89,4.0,3,1339.95,27.89876180027008,8,1,55.58150319615926,6,385.5357493489298,2,331.0774141215776
68404,71407,22,7,14249.04,1442.42,7,7,25,7,1884,51,16.0,6.86,8.0,0,1579.97,31.805150889570907,4,1,80.08231052171365,5,232.11411254527354,2,122.04557693301281
68406,81662,32,10,37885.46,3047.1216666666664,4,7,22,6,236,30,8.0,9.61,11.0,2,2618.46,38.94349523432876,6,1,122.5557919062829,3,177.0730307581305,2,275.08334400225317
68433,53756,22,4,46841.92,3734.493333333333,3,4,13,4,1993,21,20.0,18.32,5.0,2,1483.22,37.93847444592208,34,1,149.39035924729075,1,363.0992337398561,2,110.95974034618648
68435,89803,34,6,36048.08,2949.0066666666667,3,7,14,2,722,25,12.0,19.7,6.0,2,571.06,39.663321766543206,5,1,45.77263566451583,3,338.6002670928036,2,180.52776390934727
68445,55774,29,6,43200.9,3807.075,8,9,16,4,1788,33,22.0,6.88,12.0,0,1404.99,36.70009118186,3,1,117.8338399423386,4,263.3403147754953,2,279.5333452821661
68451,13398,42,15,39314.02,3189.168333333333,7,7,22,5,1287,47,14.0,13.75,11.0,3,2554.65,27.834124994717907,4,1,82.15879169065055,0,396.2235598656749,1,80.53448177700784
68457,9723,41,8,14722.08,1248.84,8,6,17,1,481,29,20.0,9.85,7.0,2,1307.84,26.143651080533512,9,1,10.855972446035146,5,246.14760074376846,2,157.88042681019638
68467,56513,17,7,73128.0,5796.0,5,6,20,1,0,15,10.0,15.63,4.0,2,1237.13,28.643111573740573,11,0,42.36714782204038,5,384.1141240382567,2,443.1187281397029
68490,40627,35,8,102343.68,8736.64,6,5,10,4,1698,27,17.0,11.17,3.0,2,450.66,27.385220380441808,8,1,240.35148110451755,0,797.4495908047475,1,75.86292809073501
68492,27222,26,10,70171.29000000001,6091.607500000001,3,7,13,6,1890,13,18.0,9.81,9.0,3,686.85,27.740547602027675,11,1,268.6729530214929,2,260.3050227563203,2,340.18277422218694
68505,62218,46,6,61035.39,4821.2825,4,6,6,2,1434,18,14.0,2.98,4.0,2,1338.69,40.07717581360298,26,1,52.82375399762832,1,518.2582198758226,2,161.0462761265491
68506,36524,44,14,68380.29000000001,5448.357500000001,4,4,18,3,70,26,18.0,4.74,9.0,2,1293.3,39.32467189052692,11,0,105.88783710758332,1,532.8322573901852,2,156.1156555022316
68508,8939,27,9,55229.64,4833.47,5,4,5,4,54,30,13.0,7.42,4.0,2,590.3,30.778284750329817,22,0,124.49582672277086,6,290.8118040492812,2,348.0393692279481
68513,91083,28,14,22713.82,1619.8183333333334,6,6,16,2,1437,32,13.0,19.49,7.0,2,1410.54,31.37332753123259,9,1,19.37348721639388,5,332.4706746998172,2,100.13767141712226
68532,69512,36,1,16698.08,1438.506666666667,8,6,25,6,1267,17,18.0,8.41,12.0,2,1382.71,39.46613178094693,4,1,49.35562136358736,4,334.7208369530269,1,39.77420835005244
68534,30735,42,2,17562.41,1683.5341666666666,7,9,31,4,58,33,18.0,8.94,8.0,2,2240.76,28.668287012924992,34,1,46.13293784979064,3,306.8975233080755,1,85.32295550880055
68541,21572,21,9,51506.55,4051.2125,4,6,14,4,737,18,14.0,11.4,4.0,2,2681.39,26.412379173025645,32,1,160.9924107886305,6,263.5158930775689,2,240.6129461338006
68547,36390,31,9,63525.64,5409.803333333333,4,7,9,3,713,14,5.0,10.73,2.0,1,1016.0,30.449824101783506,24,0,145.9295599871315,0,552.636479457546,2,82.41429388865582
68556,94259,22,11,29074.2,2595.85,8,6,5,4,740,18,21.0,15.45,3.0,2,867.27,40.15793591914365,24,0,52.50795033281486,1,372.45014151665083,2,84.62690815053428
68561,62751,44,12,29647.92,2329.66,6,4,19,4,899,7,10.0,16.9,5.0,2,516.42,35.9506593858974,10,0,82.41882696391812,5,313.8076654726885,2,126.73950756339336
68568,44883,41,0,68291.70000000001,5414.975000000001,8,5,5,2,1907,18,13.0,2.69,1.0,3,1210.72,34.568403903793374,26,1,62.35247096931465,1,560.8052793623199,2,168.3397496683657
68569,83928,22,0,73926.36,6117.53,8,6,21,6,826,40,17.0,20.28,7.0,0,3978.9,28.735961215963503,34,1,329.24372938835387,2,275.20605446561626,1,267.30321614602985
68593,81795,37,5,34102.64,2742.8866666666668,7,5,26,5,1159,18,16.0,6.25,6.0,0,4057.35,24.802077288480174,33,1,140.11980298030753,2,259.31177867312493,1,134.8570850132343
68594,63281,23,7,87939.04,7343.253333333332,2,4,11,2,722,8,7.0,5.98,4.0,1,320.89,30.670134845888928,18,0,74.00774815976222,1,781.9722495228588,2,128.3453356507124
68609,72393,39,2,17692.555,1711.3795833333334,5,4,9,1,1911,22,17.0,18.74,3.0,2,813.67,25.9067462083736,17,1,11.826839482592694,4,392.32125908741057,2,46.989859763330095
